Student ID,Name,Program/Degree,Contact Info
TUCE1029,Venkatesh Gowda,Computer Engineering,Venkatesh_Gowda@ssmcollege.co.in
TUCE1043,Vijay Chowdary,Computer Engineering,Vijay_Chowdary@ssmcollege.co.in
TUCE1049,Vijay Joshi,Computer Engineering,Vijay_Joshi@ssmcollege.co.in
TUCE1030,Vijay Reddy,Computer Engineering,Vijay_Reddy@ssmcollege.co.in
TUCE1011,Yamini Iyer,Computer Engineering,Yamini_Iyer@ssmcollege.co.in
TUEE1029,Ajay Joshi,Electrical Engineering,Ajay_Joshi@ssmcollege.co.in
TUEE1001,Ajay Namboothiri,Electrical Engineering,Ajay_Namboothiri@ssmcollege.co.in
TUEE1005,Arjun Iyer,Electrical Engineering,Arjun_Iyer@ssmcollege.co.in
TUEE1022,Deepak Naidu,Electrical Engineering,Deepak_Naidu@ssmcollege.co.in
TUEE1019,Dinesh Iyer,Electrical Engineering,Dinesh_Iyer@ssmcollege.co.in
TUEE1023,Dinesh Menon,Electrical Engineering,Dinesh_Menon@ssmcollege.co.in
TUEE1015,Ganesh Rao,Electrical Engineering,Ganesh_Rao@ssmcollege.co.in
TUEE1016,Hari Joshi,Electrical Engineering,Hari_Joshi@ssmcollege.co.in
TUEE1008,Harish Bhattacharya,Electrical Engineering,Harish_Bhattacharya@ssmcollege.co.in
TUEE1027,Harish Iyer,Electrical Engineering,Harish_Iyer@ssmcollege.co.in
TUEE1042,Harish Naidu,Electrical Engineering,Harish_Naidu@ssmcollege.co.in
TUEE1006,Harish Rao,Electrical Engineering,Harish_Rao@ssmcollege.co.in
TUEE1033,Hema Acharya,Electrical Engineering,Hema_Acharya@ssmcollege.co.in
TUEE1011,Kavya Chowdary,Electrical Engineering,Kavya_Chowdary@ssmcollege.co.in
TUEE1003,Keerthi Gowda,Electrical Engineering,Keerthi_Gowda@ssmcollege.co.in
TUEE1041,Krishna Namboothiri,Electrical Engineering,Krishna_Namboothiri@ssmcollege.co.in
TUEE1013,Lakshya Rangaswamy,Electrical Engineering,Lakshya_Rangaswamy@ssmcollege.co.in
TUEE1014,Manoj Namboothiri,Electrical Engineering,Manoj_Namboothiri@ssmcollege.co.in
TUEE1046,Manoj Sundaram,Electrical Engineering,Manoj_Sundaram@ssmcollege.co.in
TUEE1028,Meena Bhattacharya,Electrical Engineering,Meena_Bhattacharya@ssmcollege.co.in
TUEE1050,Meena Iyer,Electrical Engineering,Meena_Iyer@ssmcollege.co.in
TUEE1004,Meena Naidu,Electrical Engineering,Meena_Naidu@ssmcollege.co.in
TUEE1010,Mohan Sharma,Electrical Engineering,Mohan_Sharma@ssmcollege.co.in
TUEE1044,Nithya Srinivas,Electrical Engineering,Nithya_Srinivas@ssmcollege.co.in
TUEE1034,Priya Joshi,Electrical Engineering,Priya_Joshi@ssmcollege.co.in
TUEE1045,Rahul Acharya,Electrical Engineering,Rahul_Acharya@ssmcollege.co.in
TUEE1012,Rahul Gowda,Electrical Engineering,Rahul_Gowda@ssmcollege.co.in
TUEE1035,Rahul Iyer,Electrical Engineering,Rahul_Iyer@ssmcollege.co.in
TUEE1026,Rahul Pillai,Electrical Engineering,Rahul_Pillai@ssmcollege.co.in
TUEE1020,Ramya Namboothiri,Electrical Engineering,Ramya_Namboothiri@ssmcollege.co.in
TUEE1038,Ravi Nagesh,Electrical Engineering,Ravi_Nagesh@ssmcollege.co.in
TUEE1002,Ravi Namboothiri,Electrical Engineering,Ravi_Namboothiri@ssmcollege.co.in
TUEE1037,Revathi Namboothiri,Electrical Engineering,Revathi_Namboothiri@ssmcollege.co.in
TUEE1017,Revathi Srinivas,Electrical Engineering,Revathi_Srinivas@ssmcollege.co.in
TUEE1025,Sangeetha Joshi,Electrical Engineering,Sangeetha_Joshi@ssmcollege.co.in
TUEE1049,Sanjay Gowda,Electrical Engineering,Sanjay_Gowda@ssmcollege.co.in
TUEE1031,Santosh Chowdary,Electrical Engineering,Santosh_Chowdary@ssmcollege.co.in
TUEE1043,Sathish Acharya,Electrical Engineering,Sathish_Acharya@ssmcollege.co.in
TUEE1018,Sathish Gowda,Electrical Engineering,Sathish_Gowda@ssmcollege.co.in
TUEE1036,Shilpa Nair,Electrical Engineering,Shilpa_Nair@ssmcollege.co.in
TUEE1030,Siva Nagesh,Electrical Engineering,Siva_Nagesh@ssmcollege.co.in
TUEE1048,Sneha Chowdary,Electrical Engineering,Sneha_Chowdary@ssmcollege.co.in
TUEE1007,Sreeja Joshi,Electrical Engineering,Sreeja_Joshi@ssmcollege.co.in
TUEE1039,Sruthi Namboothiri,Electrical Engineering,Sruthi_Namboothiri@ssmcollege.co.in
TUEE1021,Suresh Rao,Electrical Engineering,Suresh_Rao@ssmcollege.co.in
TUEE1024,Vasundhara Acharya,Electrical Engineering,Vasundhara_Acharya@ssmcollege.co.in
TUEE1032,Vasundhara Iyer,Electrical Engineering,Vasundhara_Iyer@ssmcollege.co.in
TUEE1047,Venkatesh Joshi,Electrical Engineering,Venkatesh_Joshi@ssmcollege.co.in
TUEE1009,Vijay Rao,Electrical Engineering,Vijay_Rao@ssmcollege.co.in
TUEE1040,Yamini Sundaram,Electrical Engineering,Yamini_Sundaram@ssmcollege.co.in
TUEC1032,Anil Sharma,Electronics Engineering,Anil_Sharma@ssmcollege.co.in
TUEC1028,Anjali Srinivas,Electronics Engineering,Anjali_Srinivas@ssmcollege.co.in
TUEC1007,Anu Bhattacharya,Electronics Engineering,Anu_Bhattacharya@ssmcollege.co.in
TUEC1031,Bhavani Chowdary,Electronics Engineering,Bhavani_Chowdary@ssmcollege.co.in
TUEC1009,Deepak Reddy,Electronics Engineering,Deepak_Reddy@ssmcollege.co.in
TUEC1041,Devi Namboothiri,Electronics Engineering,Devi_Namboothiri@ssmcollege.co.in
TUEC1029,Divya Reddy,Electronics Engineering,Divya_Reddy@ssmcollege.co.in
TUEC1046,Divya Sharma,Electronics Engineering,Divya_Sharma@ssmcollege.co.in
TUEC1047,Ganesh Sundaram,Electronics Engineering,Ganesh_Sundaram@ssmcollege.co.in
TUEC1010,Gayathri Sharma,Electronics Engineering,Gayathri_Sharma@ssmcollege.co.in
TUEC1005,Gowtham Rao,Electronics Engineering,Gowtham_Rao@ssmcollege.co.in
TUEC1018,Hari Nair,Electronics Engineering,Hari_Nair@ssmcollege.co.in
TUEC1014,Karthik Sharma,Electronics Engineering,Karthik_Sharma@ssmcollege.co.in
TUEC1011,Keerthi Shetty,Electronics Engineering,Keerthi_Shetty@ssmcollege.co.in
TUEC1048,Krishna Joshi,Electronics Engineering,Krishna_Joshi@ssmcollege.co.in
TUEC1026,Kumar Nair,Electronics Engineering,Kumar_Nair@ssmcollege.co.in
TUEC1020,Lakshmi Acharya,Electronics Engineering,Lakshmi_Acharya@ssmcollege.co.in
TUEC1033,Lakshmi Naidu,Electronics Engineering,Lakshmi_Naidu@ssmcollege.co.in
TUEC1008,Madhavi Murthy,Electronics Engineering,Madhavi_Murthy@ssmcollege.co.in
TUEC1034,Manoj Nair,Electronics Engineering,Manoj_Nair@ssmcollege.co.in
TUEC1027,Manoj Shetty,Electronics Engineering,Manoj_Shetty@ssmcollege.co.in
TUEC1044,Meena Murthy,Electronics Engineering,Meena_Murthy@ssmcollege.co.in
TUEC1003,Meena Rao,Electronics Engineering,Meena_Rao@ssmcollege.co.in
TUEC1017,Meena Shetty,Electronics Engineering,Meena_Shetty@ssmcollege.co.in
TUEC1040,Nandhini Menon,Electronics Engineering,Nandhini_Menon@ssmcollege.co.in
TUEC1021,Nithya Namboothiri,Electronics Engineering,Nithya_Namboothiri@ssmcollege.co.in
TUEC1022,Nithya Reddy,Electronics Engineering,Nithya_Reddy@ssmcollege.co.in
TUEC1025,Pooja Namboothiri,Electronics Engineering,Pooja_Namboothiri@ssmcollege.co.in
TUEC1013,Prakash Namboothiri,Electronics Engineering,Prakash_Namboothiri@ssmcollege.co.in
TUEC1002,Rakesh Namboothiri,Electronics Engineering,Rakesh_Namboothiri@ssmcollege.co.in
TUEC1036,Ramya Srinivas,Electronics Engineering,Ramya_Srinivas@ssmcollege.co.in
TUEC1042,Ravi Joshi,Electronics Engineering,Ravi_Joshi@ssmcollege.co.in
TUEC1019,Ravi Pillai,Electronics Engineering,Ravi_Pillai@ssmcollege.co.in
TUEC1045,Revathi Gowda,Electronics Engineering,Revathi_Gowda@ssmcollege.co.in
TUEC1012,Sangeetha Gowda,Electronics Engineering,Sangeetha_Gowda@ssmcollege.co.in
TUEC1043,Sangeetha Nagesh,Electronics Engineering,Sangeetha_Nagesh@ssmcollege.co.in
TUEC1015,Shankar Sundaram,Electronics Engineering,Shankar_Sundaram@ssmcollege.co.in
TUEC1038,Shilpa Gowda,Electronics Engineering,Shilpa_Gowda@ssmcollege.co.in
TUEC1006,Shilpa Iyer,Electronics Engineering,Shilpa_Iyer@ssmcollege.co.in
TUEC1016,Shilpa Reddy,Electronics Engineering,Shilpa_Reddy@ssmcollege.co.in
TUEC1001,Sneha Acharya,Electronics Engineering,Sneha_Acharya@ssmcollege.co.in
TUEC1050,Sreeja Rao,Electronics Engineering,Sreeja_Rao@ssmcollege.co.in
TUEC1023,Sruthi Bhattacharya,Electronics Engineering,Sruthi_Bhattacharya@ssmcollege.co.in
TUEC1004,Sruthi Gowda,Electronics Engineering,Sruthi_Gowda@ssmcollege.co.in
TUEC1030,Sruthi Iyer,Electronics Engineering,Sruthi_Iyer@ssmcollege.co.in
TUEC1024,Swathi Acharya,Electronics Engineering,Swathi_Acharya@ssmcollege.co.in
TUEC1039,Venkatesh Murthy,Electronics Engineering,Venkatesh_Murthy@ssmcollege.co.in
TUEC1035,Vijay Srinivas,Electronics Engineering,Vijay_Srinivas@ssmcollege.co.in
TUEC1037,Yamini Menon,Electronics Engineering,Yamini_Menon@ssmcollege.co.in
TUEC1049,Yamini Nagesh,Electronics Engineering,Yamini_Nagesh@ssmcollege.co.in
TUME1017,Ajay Rangaswamy,Mechanical Engineering,Ajay_Rangaswamy@ssmcollege.co.in
TUME1031,Ajay Reddy,Mechanical Engineering,Ajay_Reddy@ssmcollege.co.in
TUME1038,Anil Rao,Mechanical Engineering,Anil_Rao@ssmcollege.co.in
TUME1027,Anu Rao,Mechanical Engineering,Anu_Rao@ssmcollege.co.in
TUME1019,Anu Venkatesh,Mechanical Engineering,Anu_Venkatesh@ssmcollege.co.in
TUME1041,Bhavani Srinivas,Mechanical Engineering,Bhavani_Srinivas@ssmcollege.co.in
TUME1030,Bhavani Venkatesh,Mechanical Engineering,Bhavani_Venkatesh@ssmcollege.co.in
TUME1045,Deepak Kumar,Mechanical Engineering,Deepak_Kumar@ssmcollege.co.in
TUME1025,Devi Kumar,Mechanical Engineering,Devi_Kumar@ssmcollege.co.in
TUME1050,Devi Rangaswamy,Mechanical Engineering,Devi_Rangaswamy@ssmcollege.co.in
TUME1011,Divya Joshi,Mechanical Engineering,Divya_Joshi@ssmcollege.co.in
TUME1047,Divya Pillai,Mechanical Engineering,Divya_Pillai@ssmcollege.co.in
TUME1044,Hari Acharya,Mechanical Engineering,Hari_Acharya@ssmcollege.co.in
TUME1033,Hari Kumar,Mechanical Engineering,Hari_Kumar@ssmcollege.co.in
TUME1010,Hema Nagesh,Mechanical Engineering,Hema_Nagesh@ssmcollege.co.in
TUME1012,Jyothi Nair,Mechanical Engineering,Jyothi_Nair@ssmcollege.co.in
TUME1013,Karthik Joshi,Mechanical Engineering,Karthik_Joshi@ssmcollege.co.in
TUME1007,Keerthi Namboothiri,Mechanical Engineering,Keerthi_Namboothiri@ssmcollege.co.in
TUME1026,Keerthi Srinivas,Mechanical Engineering,Keerthi_Srinivas@ssmcollege.co.in
TUME1036,Krishna Kumar,Mechanical Engineering,Krishna_Kumar@ssmcollege.co.in
TUME1023,Krishna Murthy,Mechanical Engineering,Krishna_Murthy@ssmcollege.co.in
TUME1004,Krishna Nair,Mechanical Engineering,Krishna_Nair@ssmcollege.co.in
TUME1005,Kumar Acharya,Mechanical Engineering,Kumar_Acharya@ssmcollege.co.in
TUME1002,Kumar Nagesh,Mechanical Engineering,Kumar_Nagesh@ssmcollege.co.in
TUME1020,Lakshmi Chowdary,Mechanical Engineering,Lakshmi_Chowdary@ssmcollege.co.in
TUME1016,Lakshmi Iyer,Mechanical Engineering,Lakshmi_Iyer@ssmcollege.co.in
TUME1037,Lakshya Kumar,Mechanical Engineering,Lakshya_Kumar@ssmcollege.co.in
TUME1046,Meena Menon,Mechanical Engineering,Meena_Menon@ssmcollege.co.in
TUME1003,Mohan Reddy,Mechanical Engineering,Mohan_Reddy@ssmcollege.co.in
TUME1009,Nandhini Pillai,Mechanical Engineering,Nandhini_Pillai@ssmcollege.co.in
TUME1001,Naveen Gowda,Mechanical Engineering,Naveen_Gowda@ssmcollege.co.in
TUME1048,Naveen Pillai,Mechanical Engineering,Naveen_Pillai@ssmcollege.co.in
TUME1049,Pooja Menon,Mechanical Engineering,Pooja_Menon@ssmcollege.co.in
TUME1034,Pooja Naidu,Mechanical Engineering,Pooja_Naidu@ssmcollege.co.in
TUME1024,Pooja Venkatesh,Mechanical Engineering,Pooja_Venkatesh@ssmcollege.co.in
TUME1035,Prakash Kumar,Mechanical Engineering,Prakash_Kumar@ssmcollege.co.in
TUME1032,Prakash Srinivas,Mechanical Engineering,Prakash_Srinivas@ssmcollege.co.in
TUME1018,Rahul Bhattacharya,Mechanical Engineering,Rahul_Bhattacharya@ssmcollege.co.in
TUME1029,Rahul Joshi,Mechanical Engineering,Rahul_Joshi@ssmcollege.co.in
TUME1015,Revathi Joshi,Mechanical Engineering,Revathi_Joshi@ssmcollege.co.in
TUME1022,Sangeetha Bhattacharya,Mechanical Engineering,Sangeetha_Bhattacharya@ssmcollege.co.in
TUME1040,Sangeetha Murthy,Mechanical Engineering,Sangeetha_Murthy@ssmcollege.co.in
TUME1014,Sanjay Reddy,Mechanical Engineering,Sanjay_Reddy@ssmcollege.co.in
TUME1043,Santosh Rangaswamy,Mechanical Engineering,Santosh_Rangaswamy@ssmcollege.co.in
TUME1039,Sneha Murthy,Mechanical Engineering,Sneha_Murthy@ssmcollege.co.in
TUME1042,Sneha Venkatesh,Mechanical Engineering,Sneha_Venkatesh@ssmcollege.co.in
TUME1008,Sreeja Sharma,Mechanical Engineering,Sreeja_Sharma@ssmcollege.co.in
TUME1021,Suresh Shetty,Mechanical Engineering,Suresh_Shetty@ssmcollege.co.in
TUME1028,Swathi Gowda,Mechanical Engineering,Swathi_Gowda@ssmcollege.co.in
TUME1006,Vijay Nair,Mechanical Engineering,Vijay_Nair@ssmcollege.co.in
