Name,Marks
Divya Mishra,61
Yash Das,95
Aryan Sharma,62
Isha Yadav,98
Zara Malhotra,83
Aditya Sharma,65
Rajesh Agarwal,75
Jatin Pandey,55
Vedika Verma,97
Deepika Desai,82
Khushi Menon,88
Divya Singh,81
Arpit Sharma,80
Aryan Sinha,70
Zara Yadav,83
Aryan Banerjee,83
Ankit Mehta,69
Deepak Pillai,94
Varun Iyer,94
Ravi Bose,89
Diya Banerjee,85
Chetan Banerjee,69
Rajesh Bose,83
Harini Rangaswamy,85
Manish Desai,94
Mohit Kapoor,63
Ravi Chopra,62
Ankit Joshi,88
Manish Banerjee,94
Rahul Reddy,78
Bhavya Sinha,94
Suraj Yadav,66
Yash Desai,85
Varun Tiwari,95
Siddharth Kumar,85
Karan Malhotra,66
Pranav Sharma,70
Neha Das,70
Amit Mishra,77
Deepika Patil,99
Suraj Malhotra,77
Isha Mehta,88
Gaurav Nair,78
Amit Joshi,84
Ankit Trivedi,86
Aditi Verma,79
Keerthi Nair,89
Anu Menon,92
Priya Rao,50
Harish Sharma,100
Hari Sundaram,97
Sneha Srinivas,63
Keerthi Reddy,90
Harish Joshi,58
Ganesh Srinivas,72
Meena Srinivas,98
Manoj Bhattacharya,79
Rajesh Acharya,54
Rahul Chowdary,78
Naveen Menon,74
Ganesh Joshi,83
Ganesh Iyer,71
Jyothi Menon,100
Naveen Bhattacharya,62
Rajesh Bhattacharya,89
Vasanth Acharya,72
Ganesh Murthy,88
Ganesh Menon,76
Anjali Acharya,72
Bhavani Menon,66
Nithya Acharya,76
Swathi Sundaram,84
Sneha Gowda,87
Harini Naidu,92
Sanjay Pillai,93
Krishna Chowdary,86
Vijay Bhattacharya,87
Ganesh Sharma,71
Divya Acharya,75
Lakshmi Rao,56
Naveen Reddy,72
Devi Bhattacharya,77
Suresh Gowda,69
Ganesh Shetty,82
Ramya Reddy,98
Vijay Shetty,79
Ramya Murthy,73
Swathi Naidu,72
Naveen Rao,96
Hari Chowdary,50
Divya Naidu,60
Divya Nair,81
Deepak Nair,86
Sneha Rangaswamy,88
Naveen Rangaswamy,100
Keerthi Joshi,77
Meena Chowdary,98
Suresh Chowdary,70
Jyothi Naidu,71
Karthik Pillai,70
Vijay Gowda,78
Ganesh Bhattacharya,84
Sanjay Srinivas,83
Lakshmi Bhattacharya,86
Prakash Nair,70
Krishna Sai,74
Rachana Lakshmi,87
Karthikeya Rao,93
Sridevi Rani,69
Naveen Sundaram,54
Jayanth Kumar,98
Ishwarya Devi,75
Balaji Prasad,52
Swathi Joshi,70
Anu Priya,100
Madhumita Rao,78
Karthik Shetty,87
Shilpa Bhattacharya,68
Sesha Sai,64
Rajiv Reddy,60
Sruthi Lakshmi,88
Anil Gowda,77
Charan Teja,90
Nandini Reddy,50
Shiva Kumar,92
Nithya Menon,98
Sreeja Rani,96
Bhavani Shetty,97
Aditya Vardhan,99
Devi Srinivas,81
Harika Priya,84
Ramya Sharma,70
Anil Acharya,69
Vinay Kumar,96
Rajesh Murthy,72
Sumathi Lakshmi,72
Divya Teja,89
Ramesh Babu,83
Harish Murthy,99
Janani Priya,100
Kiran Teja,81
Anjali Rangaswamy,78
Haritha Latha,89
Goutham Ch,73
Gowri Priya,95
Gowtham S,89
Harsha Vardhan,82
Harsha Vardhan K,89
Harshaa V S,100
Harshitha P,82
Hema S,65
Hema Sri,63
Hemant Ram R,96
Hiranmayi Y,86
Isha Sriharsha,98
Jaahnavi R,92
Jahnavi D,91
Jaya Sri,88
Jaya Surya,77
Jayanth Karan S,79
Jayanthi S,84
Jayasurya J,89
Jiju Praveen S,68
Jiteshraaju R,78
Joshitha U,99
Jyothirmai M,78
Jyothsna R,95
K Varun,98
Kalyan Sai,85
Kamala Kumari,85
Kanaka Durga,83
Kanchana C,51
Karthiga R,98
Karthik Raja,89
Kavya Teja,74
Keerthana Sree,81
Keerthika A,74
Koushik M,89
Krishna Prathyusha,83
Lahari Ch,77
Lakshmi Priya P,72
Lakshmi Sindhu,86
Lasya Priya Guggilam,77
Latha Kumari,60
Leela Sairam P,82
Likhitha K,76
Logeshwari P,73
Madhav Sai,78
Madhuri S,76
Mahesh Y,70
Manikantha Rao,88
Meghana P,85
Megnam B,88
Mohanbabu D,84
Mounika Devi,89
Mounika S,81
Mukesh Kanna A,100
Shashank Reddy,84
Shashikiran D,88
Shiva Chaitanya,65
Shiva Prasad,78
Shivani B,84
Shruthi S,82
Siddharth D,82
Sindhuja G,78
Siri Sanjana,90
Sitaram Y,74
Siva Sankar P,59
Sneha Latha,57
Soorya A E,80
Spoorthy Atluri,83
Sravani G,77
Sravya Paruchuri,94
Sri Eswari S,69
Srikanth R,92
Srilatha P,99
Srinithi P,91
Srinivasulu M,82
Srujana D,71
Srujana S,67
Sudeep V,88
Sudhakar Y,79
Sujana V,90
Sumanjali V,84
Sunil Kumar,80
Sunitha S,84
Supriya Chowdary,97
Suresh Babu,75
Surya Sai,76
Sushil Kumar,51
Sushmitha K,87
Swathi Kiran,90
Swetha Kiran A,90
T Mohan Kanna,85
Tanuja G,96
Tanya S,83
Teja Ranjith,93
Tejash Vasanth V,85
Tejasvi L,83
Thamilisai S P L,93
Uday Chand,94
Uma Maheswari,73
Upendra B,100
V Devatarika,94
V Lakshana,67
Vaishnavi T,87
Varsha S,89
Arjun Naidu,60
Arjun Acharya,71
Arpit Joshi,100
Arpit Pillai,91
Arpit Iyer,63
Arpit Bhattacharya,67
Arvind Joshi,83
Aryan Nagesh,95
Aryan Chowdary,87
Aryan Iyer,91
Aryan Acharya,82
Aryan Joshi,70
Aryan Nair,62
Ashok Namboothiri,90
Avinash Nagesh,92
Avni Namboothiri,75
Avni Sundaram,58
Balaji Namboothiri,72
Balaji Naidu,88
Balaji Acharya,84
Banda Srinivas,88
Barath Acharya,97
Behan Sundaram,74
Bharat Joshi,58
Bharath Chowdary,52
Bhavana Gowda,83
Bhavani Iyer,70
Bhavani Namboothiri,86
Bhavani Gowda,67
Bhavani Sundaram,81
Bhavya Reddy,75
Bhavya Shetty,92
Bhavya Nair,68
Bhavya Pillai,97
Bhavya Acharya,68
Bhavya Namboothiri,91
Bratindra Reddy,90
Chaitanya Bhattacharya,77
Chaitanya Acharya,93
Chandan Namboothiri,90
Chandra Nair,83
Charan Shetty,61
Chetan Srinivas,79
Chetan Reddy,65
Chetan Iyer,99
Chitradhar Chowdary,88
Chudhersan Sharma,81
Damayanthi Naidu,75
Deekshitha Nair,64
Deepadharshini Srinivas,74
