Student ID,Name,Batch
TUME2006,Santosh Kumar,2023
TUME2007,Divya Venkatesh,2023
TUME2008,Jyothi Shetty,2023
TUME2009,Raghav Kumar,2023
TUME2011,Divya Sundaram,2023
TUME2012,Raghav Naidu,2023
TUME2013,Naina Shah,2023
TUME2014,Suraj Desai,2023
TUME2015,Sangeetha Menon,2023
TUME2016,Aditi Gupta,2023
TUME2017,Amit Singh,2023
TUME2018,Ankit Sinha,2023
TUME2019,Neha Mehta,2023
TUME2020,Khushi Mehta,2023
TUME2021,Divya Bose,2023
TUME2022,Suraj Shah,2023
TUME2023,Tanvi Kapoor,2023
TUME2024,Deepika Nair,2023
TUME2026,Khushi Shah,2023
TUME2027,Suraj Joshi,2023
TUME2028,Krishna Pandey,2023
TUME2029,Suresh Nair,2023
TUME2030,Gaurav Sinha,2023
TUME2031,Deepika Gupta,2023
TUME2032,Neha Desai,2023
TUME2033,Ishita Bose,2023
TUME2034,Manish Mehta,2023
TUME2035,Divya Tiwari,2023
TUME2036,Aditya Kumar,2023
TUME2037,Avni Sinha,2023
TUME2038,Amit Iyer,2023
TUME2039,Aryan Malhotra,2023
TUME2040,Ishita Reddy,2023
TUME2041,Naina Bose,2023
TUME2042,Suraj Kumar,2023
TUME2043,Karan Verma,2023
TUME2044,Rohan Gupta,2023
TUME2045,Aditi Banerjee,2023
TUME2046,Rahul Gupta,2023
TUME2047,Vedika Chopra,2023
TUME2048,Aditi Jain,2023
TUME3001,Arpit Patel,2021
TUME3002,Aditi Kapoor,2021
TUME3003,Rajesh Gupta,2021
TUME3004,Kavya Bose,2021
TUME3005,Aditya Verma,2021
TUME3007,Amit Yadav,2021
TUME3008,Rahul Desai,2021
TUME3009,Aryan Mishra,2021
TUME3010,Pranav Mehta,2021
TUME3011,Tanvi Nair,2021
TUME3012,Tanvi Patil,2021
TUME3013,Vikram Iyer,2021
TUME3014,Suraj Tiwari,2021
TUME3015,Sanya Pandey,2021
TUME3017,Riya Kumar,2021
TUME3019,Vikram Joshi,2021
TUME3020,Arjun Menon,2021
TUME3021,Anjali Trivedi,2021
TUME3022,Shreya Bose,2021
TUME3023,Harish Sundaram,2021
TUME3024,Sanjay Sharma,2021
TUME3025,Pranav Sinha,2021
TUME3026,Manish Patel,2021
TUME3027,Anjali Mehta,2021
TUME3028,Aryan Desai,2021
TUME3029,Naina Gupta,2021
TUME3030,Tanvi Mehta,2021
TUME3033,Ravi Singh,2021
TUME3035,Ankit Kumar,2021
TUME3036,Aryan Pandey,2021
TUME3037,Pooja Tiwari,2021
TUME3038,Priya Menon,2021
TUME3039,Neha Trivedi,2021
TUME3040,Zara Patil,2021
TUME3041,Avni Agarwal,2021
TUME3042,Gaurav Choudhury,2021
TUME3044,Tanvi Menon,2021
TUME3046,Nikhil Joshi,2021
TUME3047,Anjali Patel,2021
TUME3048,Suraj Chopra,2021
TUME3049,Aditya Trivedi,2021
TUME3050,Rohan Verma,2021
TUME4002,Shilpa Murthy,2019
TUME4005,Pooja Murthy,2019
TUME4006,Karthik Acharya,2019
TUME4007,Santosh Joshi,2019
TUME4008,Ajay Naidu,2019
TUME4009,Sangeetha Sundaram,2019
TUME4011,Rahul Sharma,2019
TUME4012,Anil Iyer,2019
TUME4018,Prakash Acharya,2019
TUME4019,Rajesh Srinivas,2019
TUME4021,Anu Acharya,2019
TUME4023,Devi Shetty,2019
TUME4024,Keerthi Bhattacharya,2019
TUME4026,Harini Pillai,2019
TUME4027,Harini Chowdary,2019
TUME4029,Nithya Shetty,2019
TUME4030,Anand Varma,2019
TUME4033,Devi Sharma,2019
TUME4034,Anjali Sharma,2019
TUME4035,Swathi Srinivas,2019
TUME4037,Swathi Murthy,2019
TUME4039,Swathi Latha,2019
TUME4040,Santosh Pillai,2019
TUME4042,Devi Naidu,2019
TUME4043,Pooja Srinivas,2019
TUME4044,Harish Gowda,2019
TUME4046,Ramya Menon,2019
TUME4047,Manoj Reddy,2019
TUME4048,Chandra Sekhar,2019
TUME4049,Prakash Rao,2019
TUME23003,Vijay Rangaswamy,2019
TUME23004,Rajendra Rao,2019
TUME23006,Soujanya Devi,2019
TUME23007,Naveen Naidu,2019
TUME23008,Krishna Menon,2019
TUME23010,Kishore Venkatesh,2019
TUME23011,Reshma Sri,2019
TUME23012,Ravi Kishore,2019
TUME23013,Jyothi Rao,2019
TUME23014,Arjun Shetty,2019
TUME23016,Suman Kumar,2019
TUME23019,Shruthi Prasad,2019
TUME23020,Vignesh Reddy,2019
TUME23021,Krishna Pillai,2019
TUME23022,Sangeetha Rangaswamy,2019
TUME23023,Yamuna Priya,2019
TUME23025,Sanjay Naidu,2019
TUME23026,Lavanya Lakshmi,2019
TUME23027,Subhash Reddy,2019
TUME23029,Anusha Devi,2019
TUME23031,Chaitanya Kumar,2019
TUME23032,Meenakshi Sree,2019
TUME23034,Surya Prasad,2019
TUME23036,Nanditha Reddy,2019
TUME23039,Vikas Kumar,2019
TUME23041,Sneha Lakshmi,2019
TUME23042,Vasanth Srinivas,2019
TUME23047,Sanjay Acharya,2019
TUME23050,Raju Babu,2019
TUME24003,Murali Krishna,2020
TUME24004,Naga Lakshmi,2020
TUME24006,Naga Swetha,2020
TUME24011,Nageshwar Rao,2020
TUME24012,Nanda Kishore,2020
TUME24013,Nandhinee K,2020
TUME24015,Nandhini Ruthraksha Thangavel,2020
TUME24019,Naveen Chandra,2020
TUME24020,Naveen Sai,2020
TUME24023,Naveena Devi,2020
TUME24028,Niharika T,2020
TUME24029,Nikhitha K B,2020
TUME24030,Nikitha Reddy,2020
TUME24033,Nikshitha P,2020
TUME24034,Nitesh Dayalan Vavili,2020
TUME24035,Nivedhitha R,2020
TUME24037,P Nimeesha,2020
TUME24038,Padmavathi A,2020
TUME24039,Pallavi S,2020
TUME24040,Parimala G,2020
TUME24041,Pavan Kumar,2020
TUME24043,Pavan Teja,2020
TUME24046,Pavani Mallidi,2020
TUME24047,Poojitha C,2020
TUME24048,Pradeep J,2020
TUME24049,Pragna Chowdary,2020
TUME24050,Pramoth Kumar P,2020
TUME21201,Varshini D,2017
TUME21203,Varun Sai,2017
TUME21204,Vasavi J,2017
TUME21205,Venkata Ramana,2017
TUME21209,Venkata Srujana,2017
TUME21210,Venkatesh M,2017
TUME21212,Vijay Dhruva,2017
TUME21213,Vijayalakshmi B,2017
TUME21214,Vikash N,2017
TUME21215,Vineeth Kumar,2017
TUME21216,Vishal Kiran,2017
TUME21219,Vishnu Vardhan,2017
TUME21220,Viswajith Deena Dayalan,2017
TUME21224,Viswanath V,2017
TUME21226,Y A Allen Vinnie,2017
TUME21229,Yashwant Nag,2017
TUME21230,Yashwanth R,2017
TUME21234,Yaswanth S,2017
TUME21235,Yukesh K M,2017
TUME21236,Yuvraj Singh C,2017
TUME21237,Aditi Nair,2017
TUME21238,Aditi Iyer,2017
TUME21242,Aditi Rangaswamy,2017
TUME21247,Aditi Nagesh,2017
TUME21249,Aditi Shetty,2017
TUME22451,Deepak Srinivas,2018
TUME22453,Deepak Menon,2018
TUME22454,Deepak Gowda,2018
TUME22455,Deepak Murthy,2018
TUME22459,Deepak Namboothiri,2018
TUME22460,Deepak Nagesh,2018
TUME22462,Deepak Sharma,2018
TUME22463,Deepika Joshi,2018
TUME22464,Deepika Nagesh,2018
TUME22465,Deepika Rao,2018
TUME22466,Deepika Gowda,2018
TUME22469,Deepthi Reddy,2018
TUME22470,Devadharshini Nair,2018
TUME22474,Devendra Acharya,2018
TUME22476,Devi Nair,2018
TUME22479,Devi Pillai,2018
TUME22480,Devi Nagesh,2018
TUME22484,Devi Joshi,2018
TUME22485,Devi Venkatesh,2018
TUME22486,Dhamini Chowdary,2018
TUME22487,Dhanusha Shetty,2018
TUME22488,Dharani Bhattacharya,2018
TUME22492,Dharmendra Murthy,2018
TUME22497,Dileep Venkatesh,2018
TUME22499,Dinesh Kumar,2018
