Name,Marks,GPA
Raghav Naidu,75,8.185714285714287
Naina Shah,75,8.885714285714286
Suraj Desai,77,8.028571428571428
Sangeetha Menon,78,7.914285714285714
Aditi Gupta,97,8.042857142857143
Amit Singh,85,7.0
Ankit Sinha,61,7.442857142857143
Neha Mehta,97,7.957142857142857
Khushi Mehta,85,8.471428571428572
Divya Bose,99,8.571428571428571
Suraj Shah,73,8.77142857142857
Tanvi Kapoor,91,8.428571428571429
Deepika Nair,86,9.214285714285714
Khushi Shah,68,6.828571428571429
Suraj Joshi,73,7.971428571428571
Krishna Pandey,86,8.485714285714286
Suresh Nair,86,9.028571428571428
Gaurav Sinha,83,8.528571428571428
Deepika Gupta,83,7.457142857142857
Neha Desai,83,8.614285714285714
Ishita Bose,98,8.785714285714286
Manish Mehta,85,7.385714285714286
Divya Tiwari,79,7.914285714285714
Aditya Kumar,84,8.357142857142858
Avni Sinha,94,7.9
Amit Iyer,81,8.1
Aryan Malhotra,89,8.0
Ishita Reddy,85,8.014285714285714
Naina Bose,74,7.942857142857143
Suraj Kumar,78,7.9
Karan Verma,80,8.742857142857144
Rohan Gupta,92,8.5
Aditi Banerjee,94,8.742857142857144
Rahul Gupta,86,8.1
Vedika Chopra,96,7.457142857142857
Aditi Jain,60,7.8
Arpit Patel,89,7.871428571428571
Aditi Kapoor,62,7.157142857142857
Rajesh Gupta,68,7.428571428571429
Kavya Bose,86,7.942857142857143
Aditya Verma,93,8.214285714285714
Amit Yadav,54,7.642857142857143
Rahul Desai,98,8.257142857142856
Aryan Mishra,98,8.414285714285715
Pranav Mehta,75,8.0
Tanvi Nair,90,8.214285714285714
Tanvi Patil,60,8.357142857142858
Vikram Iyer,94,8.442857142857143
Suraj Tiwari,84,7.585714285714286
Sanya Pandey,100,8.457142857142857
Riya Kumar,56,8.157142857142857
Vikram Joshi,95,8.357142857142858
Arjun Menon,96,8.342857142857143
Anjali Trivedi,83,8.071428571428571
Shreya Bose,88,8.457142857142857
Harish Sundaram,73,7.4
Sanjay Sharma,82,8.17142857142857
Pranav Sinha,65,7.757142857142857
Manish Patel,84,8.557142857142857
Anjali Mehta,71,7.8
Aryan Desai,61,8.071428571428571
Naina Gupta,86,7.7
Tanvi Mehta,61,7.871428571428571
Ravi Singh,66,7.657142857142857
Ankit Kumar,60,7.971428571428571
Aryan Pandey,100,8.2
Pooja Tiwari,71,8.785714285714286
Priya Menon,90,7.7
Neha Trivedi,93,8.585714285714285
Zara Patil,84,7.857142857142857
Avni Agarwal,84,7.957142857142857
Gaurav Choudhury,99,8.357142857142858
Tanvi Menon,88,8.2
Nikhil Joshi,62,8.042857142857143
Anjali Patel,74,7.357142857142857
Suraj Chopra,74,8.542857142857143
Aditya Trivedi,84,9.185714285714287
Rohan Verma,57,7.6
Shilpa Murthy,81,8.8
Pooja Murthy,77,8.357142857142858
Karthik Acharya,77,8.057142857142857
Santosh Joshi,89,8.085714285714285
Ajay Naidu,80,8.042857142857143
Sangeetha Sundaram,80,8.585714285714285
Rahul Sharma,82,8.157142857142857
Anil Iyer,73,8.214285714285714
Prakash Acharya,80,8.214285714285714
Rajesh Srinivas,93,8.314285714285713
Anu Acharya,70,7.857142857142857
Devi Shetty,87,7.9
Keerthi Bhattacharya,97,8.714285714285714
Harini Pillai,88,9.185714285714287
Harini Chowdary,88,7.985714285714286
Nithya Shetty,73,8.12857142857143
Anand Varma,72,7.342857142857143
Devi Sharma,86,8.5
Anjali Sharma,99,8.37142857142857
Swathi Srinivas,80,7.971428571428571
Swathi Murthy,74,8.557142857142857
Swathi Latha,73,7.657142857142857
Santosh Pillai,69,8.32857142857143
Devi Naidu,83,8.114285714285714
Pooja Srinivas,85,8.285714285714286
Harish Gowda,93,8.4
Ramya Menon,63,8.042857142857143
Manoj Reddy,78,7.7714285714285705
Chandra Sekhar,75,8.557142857142857
Prakash Rao,89,8.17142857142857
Vijay Rangaswamy,81,7.257142857142857
Rajendra Rao,84,8.442857142857143
Soujanya Devi,71,8.042857142857143
Naveen Naidu,73,8.1
Krishna Menon,75,8.4
Kishore Venkatesh,74,8.8
Reshma Sri,80,8.214285714285714
Ravi Kishore,95,8.12857142857143
Jyothi Rao,98,9.157142857142857
Arjun Shetty,100,8.385714285714286
Suman Kumar,79,8.142857142857142
Shruthi Prasad,84,7.857142857142857
Vignesh Reddy,87,7.842857142857143
Krishna Pillai,82,7.671428571428571
Sangeetha Rangaswamy,59,8.385714285714286
Yamuna Priya,85,8.557142857142857
Sanjay Naidu,97,7.914285714285714
Lavanya Lakshmi,89,9.114285714285714
Subhash Reddy,81,7.957142857142857
Anusha Devi,71,7.7714285714285705
Chaitanya Kumar,90,8.585714285714285
Meenakshi Sree,79,8.957142857142857
Surya Prasad,89,8.028571428571428
Nanditha Reddy,86,7.342857142857143
Vikas Kumar,86,8.285714285714286
Sneha Lakshmi,87,8.0
Vasanth Srinivas,85,7.957142857142857
Sanjay Acharya,100,7.985714285714286
Raju Babu,90,8.542857142857143
Murali Krishna,51,8.042857142857143
Naga Lakshmi,89,8.985714285714286
Naga Swetha,88,8.042857142857143
Nageshwar Rao,99,7.928571428571429
Nanda Kishore,97,7.871428571428571
Nandhinee K,78,8.7
Nandhini Ruthraksha Thangavel,74,7.514285714285714
Naveen Chandra,91,8.32857142857143
Naveen Sai,99,8.614285714285714
Naveena Devi,96,8.2
Niharika T,69,8.071428571428571
Nikhitha K B,75,8.028571428571428
Nikitha Reddy,94,8.8
Nikshitha P,88,8.357142857142858
Nitesh Dayalan Vavili,77,8.62857142857143
Nivedhitha R,76,7.2285714285714295
P Nimeesha,70,8.185714285714287
Padmavathi A,82,7.128571428571429
Pallavi S,85,8.028571428571428
Parimala G,94,8.37142857142857
Pavan Kumar,87,7.357142857142857
Pavan Teja,88,8.357142857142858
Pavani Mallidi,75,8.042857142857143
Poojitha C,62,7.828571428571429
Pradeep J,63,7.2142857142857135
Pragna Chowdary,99,8.5
Pramoth Kumar P,76,8.214285714285714
Varshini D,89,7.928571428571429
Varun Sai,89,8.314285714285713
Vasavi J,87,8.428571428571429
Venkata Ramana,80,7.5
Venkata Srujana,90,7.7142857142857135
Venkatesh M,52,7.885714285714286
Vijay Dhruva,87,7.2
Vijayalakshmi B,75,8.742857142857144
Vikash N,88,8.357142857142858
Vineeth Kumar,98,7.8
Vishal Kiran,84,8.257142857142856
Vishnu Vardhan,82,7.842857142857143
Viswajith Deena Dayalan,83,7.7
Viswanath V,82,8.72857142857143
Y A Allen Vinnie,100,8.585714285714285
Yashwant Nag,87,8.042857142857143
Yashwanth R,82,8.6
Yaswanth S,74,8.77142857142857
Yukesh K M,60,7.685714285714286
Yuvraj Singh C,66,8.485714285714286
Aditi Nair,86,8.442857142857143
Aditi Iyer,73,6.985714285714286
Aditi Rangaswamy,78,8.62857142857143
Aditi Nagesh,73,8.1
Aditi Shetty,94,7.914285714285714
Deepak Srinivas,93,7.514285714285714
Deepak Menon,69,7.942857142857143
Deepak Gowda,84,8.0
Deepak Murthy,79,8.242857142857144
Deepak Namboothiri,81,7.614285714285714
Deepak Nagesh,83,7.557142857142857
Deepak Sharma,71,8.614285714285714
Deepika Joshi,61,8.071428571428571
Deepika Nagesh,53,8.62857142857143
Deepika Rao,73,8.22857142857143
Deepika Gowda,73,8.67142857142857
Deepthi Reddy,83,8.37142857142857
Devadharshini Nair,66,8.028571428571428
Devendra Acharya,84,7.7
Devi Nair,73,8.542857142857143
Devi Pillai,81,7.8
Devi Nagesh,90,7.628571428571429
Devi Joshi,69,7.514285714285714
Devi Venkatesh,80,6.957142857142857
Dhamini Chowdary,87,8.885714285714286
Dhanusha Shetty,75,8.285714285714286
Dharani Bhattacharya,90,8.114285714285714
Dharmendra Murthy,83,8.12857142857143
Dileep Venkatesh,55,7.7
Dinesh Kumar,83,8.1
