CustomerID,FirstName,LastName,Gender,Age,Email,Phone,City,State,Country,SignupDate,LastPurchaseDate,TotalPurchases,TotalSpent
27,Jennifer,Gibbs,Other,42,jennifer.gibbs@hotmail.com,001-260-798-5046x216,Nicholsberg,Kentucky,Suriname,2023-03-25,2024-03-24,5,2511.04
28,Kristina,Owens,Female,53,kristina.owens@hotmail.com,+1-996-425-2471x7693,East Ashley,Nebraska,Central African Republic,2023-07-22,2024-05-25,5,4666.1
29,Michael,Hendricks,Female,65,michael.hendricks@gmail.com,5945729283,New Deborah,Virginia,Moldova,2022-11-22,2025-08-29,12,3461.84
30,Sherry,Mcconnell,Female,20,sherry.mcconnell@gmail.com,628.504.0720x986,New Jennifer,Arizona,Ireland,2022-05-20,2024-11-18,12,1072.63
31,Phillip,Parker,Female,39,phillip.parker@yahoo.com,099.647.0769x163,South Terry,Texas,United States of America,2021-09-04,2023-11-06,39,1878.36
32,Heather,Payne,Female,39,heather.payne@gmail.com,+1-225-503-1235x2203,Nicholsport,North Carolina,Turks and Caicos Islands,2023-04-12,2024-05-18,40,3620.83
33,Kenneth,Davis,Male,44,kenneth.davis@gmail.com,001-767-415-7232x3196,West Jeffrey,New Mexico,Macao,2022-01-24,2023-02-15,1,4506.49
34,Peter,Figueroa,Other,67,peter.figueroa@gmail.com,(543)146-8805,Port Aaronport,Kentucky,Benin,2024-08-05,2025-03-18,27,3079.77
35,Elizabeth,Ryan,Male,70,elizabeth.ryan@yahoo.com,001-541-721-3337x9309,Princetown,Michigan,Tuvalu,2023-05-05,2024-02-28,6,4778.4
36,Mark,Oconnor,Other,64,mark.oconnor@hotmail.com,(812)620-3145,West Amy,Maryland,Madagascar,2023-12-10,2025-01-22,1,3258.63
37,Pamela,Garrison,Other,65,pamela.garrison@yahoo.com,537.477.3617x2851,West Linda,Louisiana,Maldives,2023-07-12,2023-08-01,30,4637.22
38,Alicia,Walters,Female,54,alicia.walters@yahoo.com,247.071.7859x44335,Marissaview,Hawaii,Guadeloupe,2021-07-02,2023-02-12,5,3767.11
39,Jeffrey,Woods,Male,45,jeffrey.woods@hotmail.com,+1-166-304-9898x103,Brucetown,North Dakota,Afghanistan,2022-02-10,2024-08-13,29,3674.03
40,Jessica,Kirk,Female,65,jessica.kirk@yahoo.com,083.921.1375x718,Kennedyfurt,West Virginia,British Virgin Islands,2021-01-04,2021-05-25,24,3171.48
41,Deborah,Mullen,Male,32,deborah.mullen@gmail.com,+1-804-102-2273x37044,Kellyton,Alaska,Saint Martin,2025-02-21,2025-05-11,12,4142.21
42,Jennifer,Herrera,Female,73,jennifer.herrera@gmail.com,001-781-909-5007x83554,Duncanport,Arizona,Czech Republic,2022-07-15,2024-08-09,11,3717.5
43,Arthur,Kelly,Male,74,arthur.kelly@hotmail.com,9190568804,Port Katiechester,Louisiana,South Georgia and the South Sandwich Islands,2022-01-31,2024-01-09,43,425.94
44,Tanya,Rivas,Female,59,tanya.rivas@gmail.com,(468)858-2144x02352,Rachelmouth,Mississippi,Tajikistan,2021-01-03,2025-04-26,30,3978.76
45,Melissa,Rowe,Male,69,melissa.rowe@yahoo.com,8854705515,South Teresafort,Ohio,Angola,2020-11-15,2021-11-16,48,4436.78
46,Lori,Weaver,Male,46,lori.weaver@yahoo.com,779-647-2758x46252,Jasonmouth,Alabama,Norfolk Island,2023-09-23,2025-03-27,24,2666.57
47,Danny,Martinez,Male,22,danny.martinez@gmail.com,970.198.2115,Jeremytown,Oklahoma,Jordan,2023-12-12,2023-12-13,10,2854.2
48,David,Mcmillan,Other,42,david.mcmillan@yahoo.com,153-069-5838x1631,New Michael,Minnesota,Albania,2025-07-29,2025-09-01,20,3540.82
49,Jacqueline,Kennedy,Other,41,jacqueline.kennedy@gmail.com,+1-468-860-3731x1377,Moorechester,Alabama,Jamaica,2023-12-21,2025-05-21,8,2924.4
50,Sandra,Harris,Male,30,sandra.harris@hotmail.com,(511)953-0050x4229,Scottside,West Virginia,Latvia,2025-06-07,2025-06-18,31,4558.56
51,Vanessa,Fowler,Female,68,vanessa.fowler@gmail.com,(993)156-1347,Johnsonland,South Carolina,Cote d'Ivoire,2024-12-27,2025-05-06,16,78.88
52,Phillip,Miller,Male,52,phillip.miller@yahoo.com,(928)727-3430x960,Lake Michelle,Mississippi,Mali,2024-10-12,2024-12-01,33,4745.21
53,Mary,Mayo,Male,46,mary.mayo@yahoo.com,001-923-492-8537,New Deborah,Indiana,Reunion,2022-12-31,2024-05-12,38,4059.41
54,Barbara,Peters,Female,44,barbara.peters@gmail.com,4718671283,Mariabury,Massachusetts,American Samoa,2020-12-12,2021-05-23,33,4862.56
55,Stephanie,Robertson,Female,65,stephanie.robertson@gmail.com,001-905-884-8243,Matthewville,Texas,Cocos (Keeling) Islands,2024-05-15,2025-07-18,47,3616.47
56,John,Phillips,Male,37,john.phillips@gmail.com,322-085-6195,Walkerborough,West Virginia,Austria,2021-09-09,2022-10-15,6,2649.79
57,Travis,Mclaughlin,Male,42,travis.mclaughlin@gmail.com,(967)746-9547,Lake Scottport,Kansas,Holy See (Vatican City State),2025-05-23,2025-06-14,46,4789.02
58,Oscar,Snyder,Female,71,oscar.snyder@hotmail.com,(928)617-8034,Sampsonport,Oregon,French Polynesia,2023-06-28,2024-03-05,4,1325.83
59,Gregory,Smith,Female,39,gregory.smith@hotmail.com,001-851-759-0241x605,Edwardberg,Massachusetts,Botswana,2024-01-27,2024-08-25,17,2508.87
60,Joshua,Burgess,Male,33,joshua.burgess@hotmail.com,(194)147-8102x30935,New Kevintown,Florida,Tuvalu,2023-02-14,2024-09-22,14,4546.15
61,Stephanie,Hall,Male,28,stephanie.hall@gmail.com,639-290-5331x7056,South Jacquelineshire,Nebraska,Anguilla,2024-02-01,2024-12-24,11,2963.25
62,Heather,Lee,Other,67,heather.lee@hotmail.com,631.041.0296x222,Lake Nicholasstad,New Hampshire,Dominican Republic,2024-01-21,2025-03-14,26,4357.29
63,Benjamin,Kennedy,Male,50,benjamin.kennedy@gmail.com,137.015.3859,Danielview,South Carolina,Cuba,2024-07-14,2025-05-11,29,1319.05
64,William,Parsons,Female,18,william.parsons@yahoo.com,765.031.1481x144,North Christineton,Alabama,Lithuania,2022-10-02,2023-08-05,21,1403.35
65,Kristen,Garcia,Female,62,kristen.garcia@yahoo.com,001-333-236-2377x907,Sharonview,Missouri,Lesotho,2025-06-16,2025-07-30,33,1470.57
66,Michelle,Russo,Male,27,michelle.russo@yahoo.com,+1-488-010-2521x482,New Rebecca,New Hampshire,Saint Kitts and Nevis,2024-11-02,2025-03-03,42,968.97
67,Mark,Gardner,Male,60,mark.gardner@yahoo.com,+1-624-999-4411x97728,East Alexander,Arizona,Saint Kitts and Nevis,2022-03-06,2025-07-27,3,1123.3
68,Lori,Allen,Male,49,lori.allen@hotmail.com,001-447-984-9314x84537,New Cynthia,Tennessee,Mongolia,2024-02-22,2025-08-26,40,1115.1
69,Marc,Watkins,Male,58,marc.watkins@hotmail.com,001-515-375-4541,North Christopherfort,Hawaii,Seychelles,2025-01-13,2025-05-19,20,1043.32
70,Roberto,Mathis,Male,30,roberto.mathis@hotmail.com,602.083.1398x23709,North Abigailborough,Georgia,Spain,2023-02-07,2025-02-08,31,821.79
71,Anthony,Hicks,Other,28,anthony.hicks@hotmail.com,320.932.2636x7369,Simsburgh,Iowa,Djibouti,2024-05-17,2024-07-22,44,1864.11
72,Debra,Rice,Female,48,debra.rice@gmail.com,788-176-3869,Lake Alisha,South Dakota,Italy,2023-11-11,2024-08-06,49,225.54
73,Melanie,Torres,Female,66,melanie.torres@hotmail.com,650.149.5322x2457,Lynchton,Georgia,Bahamas,2024-05-13,2024-09-29,15,4124.22
74,Karen,Kennedy,Female,35,karen.kennedy@gmail.com,(867)915-4773,Erikatown,Kentucky,Turkey,2023-02-24,2024-11-14,9,4730.72
75,Nicholas,Black,Female,58,nicholas.black@yahoo.com,(079)530-8008x88894,Ginamouth,Louisiana,Libyan Arab Jamahiriya,2020-09-28,2021-03-28,32,4898.03
76,Daisy,Robinson,Male,40,daisy.robinson@hotmail.com,690-579-8932x2397,South Teresaton,New Hampshire,El Salvador,2021-10-20,2024-06-27,35,1917.57
77,Abigail,Goodwin,Other,30,abigail.goodwin@gmail.com,001-662-337-0087x76932,Weissport,Florida,Cape Verde,2022-10-24,2025-07-14,9,1644.17
78,Jillian,Sheppard,Other,66,jillian.sheppard@yahoo.com,+1-608-115-9961x376,South Katrina,Maryland,Reunion,2023-07-06,2025-03-01,42,368.51
79,Natalie,Terry,Female,49,natalie.terry@hotmail.com,001-138-784-2673x62043,Lake Mark,North Dakota,Benin,2022-10-09,2025-05-20,39,4992.11
80,Jonathan,Sloan,Male,23,jonathan.sloan@gmail.com,(363)339-4149x3114,Hortonview,Florida,French Polynesia,2024-04-16,2025-05-05,22,3525.6
81,William,Lozano,Female,66,william.lozano@hotmail.com,798-555-2274x84222,Williamview,Virginia,Cambodia,2022-06-04,2024-08-11,6,2265.58
82,Denise,Zhang,Other,47,denise.zhang@gmail.com,958.130.2783x906,Murphybury,Missouri,Mongolia,2020-11-03,2022-08-15,30,3575.76
83,Tony,Stanley,Male,35,tony.stanley@gmail.com,(572)581-9753x532,North Brett,Montana,Zambia,2025-07-27,2025-08-12,4,1309.82
84,Adam,Coleman,Female,65,adam.coleman@gmail.com,780-858-2797x7688,Logantown,Oregon,South Africa,2022-09-11,2025-01-13,47,285.48
85,Anthony,Page,Female,68,anthony.page@yahoo.com,001-999-540-4907x98019,Taylorton,Georgia,Israel,2023-09-10,2023-09-22,2,2062.26
86,Anthony,Castillo,Female,67,anthony.castillo@gmail.com,488-994-9463x18556,East Antonio,Virginia,Egypt,2025-03-06,2025-06-25,47,4337.23
87,Barry,Johnson,Other,47,barry.johnson@hotmail.com,001-613-916-7344x7595,Vazquezfurt,Michigan,Somalia,2021-11-19,2023-08-31,35,4895.03
88,Pamela,Holt,Other,58,pamela.holt@yahoo.com,+1-981-382-8367x48380,Orrshire,Michigan,Djibouti,2022-05-20,2022-08-04,5,3503.19
89,Elizabeth,Oliver,Male,28,elizabeth.oliver@hotmail.com,001-181-551-2779x82608,Tonyatown,Nebraska,Greenland,2021-10-10,2025-04-15,8,165.64
90,Michael,Franklin,Male,63,michael.franklin@yahoo.com,001-603-657-4219,West Joshuamouth,Wyoming,Netherlands,2022-03-31,2023-07-10,21,2745.83
91,Karen,Ramos,Female,34,karen.ramos@yahoo.com,001-292-480-6561x0991,Riveraborough,New Hampshire,Heard Island and McDonald Islands,2025-04-21,2025-06-17,40,820.07
92,Diane,Horn,Female,42,diane.horn@yahoo.com,(714)731-3507,Haroldberg,Maine,Tajikistan,2021-11-25,2023-05-09,41,2493.1
93,Suzanne,Ray,Male,48,suzanne.ray@gmail.com,001-406-445-9114,North Shanemouth,Florida,Gibraltar,2023-06-14,2025-07-11,43,2423.48
94,Richard,Henderson,Female,48,richard.henderson@gmail.com,001-267-538-1123x1110,North Alexanderstad,North Dakota,Timor-Leste,2021-09-26,2024-02-21,13,3198.33
95,Katrina,Smith,Female,43,katrina.smith@gmail.com,027.650.4776,Mooneyville,Texas,Mongolia,2022-03-17,2023-03-07,46,2033.63
96,Matthew,Yang,Other,22,matthew.yang@hotmail.com,769-210-1480x59401,West Darrylside,New York,Netherlands Antilles,2023-03-21,2024-11-21,23,4786.22
97,Melissa,Taylor,Other,49,melissa.taylor@hotmail.com,001-368-438-6280x5161,East Haydentown,Mississippi,Yemen,2023-06-08,2024-10-12,10,535.28
98,Matthew,Peters,Other,42,matthew.peters@hotmail.com,(378)004-7982x8251,Hudsonshire,Idaho,Kuwait,2024-04-21,2024-07-07,5,4224.85
99,Angela,Simmons,Male,48,angela.simmons@hotmail.com,(856)813-0603x3844,Lake Samuelshire,California,Portugal,2024-09-17,2025-02-15,17,944.72
100,Albert,Perez,Female,46,albert.perez@hotmail.com,(287)219-1295x674,East Josephton,Kentucky,Malaysia,2024-04-11,2025-06-25,42,2168.52
101,James,Walker,Male,49,james.walker@hotmail.com,324-574-7288x315,Joshuaton,New York,Namibia,2024-07-14,2024-08-31,49,1482.03
102,Bradley,Roach,Female,35,bradley.roach@gmail.com,+1-271-939-3005x307,Lake Michael,Georgia,Kiribati,2025-03-26,2025-09-08,11,3953.33
103,Julie,Mills,Male,40,julie.mills@hotmail.com,(624)005-6040,North Erikashire,New Hampshire,Kenya,2021-04-11,2022-08-03,42,1609.6
104,Robert,Hendricks,Other,69,robert.hendricks@hotmail.com,463.779.4941x84563,Loriburgh,Alaska,Nigeria,2025-02-03,2025-03-30,50,4264.14
105,Alicia,Jones,Female,61,alicia.jones@yahoo.com,939-959-7961,South Oliviastad,Iowa,Antigua and Barbuda,2021-11-10,2023-08-28,4,210.29
106,Kelly,Williams,Female,48,kelly.williams@hotmail.com,016.342.6758x474,Port Hannahburgh,North Carolina,Myanmar,2021-02-11,2025-03-11,22,1084.31
107,Vickie,Harrison,Female,30,vickie.harrison@yahoo.com,023.906.8975,Lutzmouth,Utah,Jersey,2021-01-03,2025-08-09,36,2953.2
108,Danielle,Wallace,Male,54,danielle.wallace@gmail.com,+1-412-604-9453x68809,Lewisfurt,Alabama,Singapore,2021-04-08,2023-12-12,48,443.34
109,David,Knight,Other,34,david.knight@hotmail.com,001-179-356-2207,Lake Samanthashire,Connecticut,Bhutan,2021-07-25,2022-05-18,49,4351.14
110,Theresa,Johnson,Female,71,theresa.johnson@yahoo.com,8177518822,West Monica,Maine,Afghanistan,2025-07-14,2025-08-08,24,2593.56
111,Nancy,Anderson,Female,57,nancy.anderson@gmail.com,830-352-8884x2232,Michelleland,Washington,Ethiopia,2024-09-22,2025-02-27,22,812.75
112,Emma,Campbell,Other,53,emma.campbell@yahoo.com,(936)659-0835x74893,Stevenstad,Iowa,Jersey,2023-11-01,2024-11-30,42,3372.45
113,Laurie,Smith,Other,34,laurie.smith@yahoo.com,(721)186-3256,New Kathleenport,Alabama,Guernsey,2024-06-11,2024-08-09,30,3633.48
114,Alicia,Meyer,Male,73,alicia.meyer@gmail.com,792.405.5171,Joshualand,West Virginia,Saint Barthelemy,2023-09-04,2024-10-19,49,4067.8
115,Jay,Murillo,Male,48,jay.murillo@gmail.com,001-702-040-4972x3880,Thomasport,Oregon,Montenegro,2022-10-07,2024-12-22,22,728.97
116,Clinton,Robinson,Male,26,clinton.robinson@yahoo.com,001-709-865-4833,Williammouth,Ohio,Guyana,2023-07-16,2025-02-26,41,4021.49
117,Craig,Hughes,Female,66,craig.hughes@gmail.com,857.773.7337x114,East Tinahaven,Oregon,Guernsey,2024-05-12,2024-11-21,48,2569.0
118,Robert,Valentine,Female,70,robert.valentine@gmail.com,587-530-6888x88015,Marisashire,Indiana,Australia,2024-01-06,2024-03-26,2,2306.07
119,Joshua,Adams,Other,32,joshua.adams@gmail.com,+1-518-784-7927x614,South Charles,Hawaii,Paraguay,2025-09-02,2025-09-02,5,3762.46
120,Joel,Blankenship,Other,21,joel.blankenship@hotmail.com,887-765-1665x5981,West Emily,Georgia,Mauritania,2025-07-25,2025-09-07,23,3933.79
121,Gary,Martinez,Female,29,gary.martinez@gmail.com,6308009830,New Jamiemouth,Louisiana,Latvia,2023-08-06,2025-05-28,45,359.46
122,Peter,Ortega,Male,47,peter.ortega@gmail.com,7169571567,West Nicholasville,Texas,Tanzania,2024-07-29,2025-02-04,2,2718.49
123,Hannah,Harris,Other,45,hannah.harris@gmail.com,001-535-650-3917,Jenniferfurt,Florida,Gabon,2021-02-11,2024-02-16,50,2534.0
124,Mark,Harris,Female,18,mark.harris@yahoo.com,001-269-433-1834,West Michelle,New Mexico,Costa Rica,2021-07-11,2024-05-03,12,2588.91
125,Garrett,Campbell,Other,31,garrett.campbell@yahoo.com,+1-631-143-1978,West Annaberg,Florida,Georgia,2025-05-11,2025-06-15,44,2314.12
126,Elizabeth,Cummings,Male,23,elizabeth.cummings@yahoo.com,(678)657-6997x078,Aprilmouth,Massachusetts,Central African Republic,2020-12-30,2025-08-24,42,1040.21
127,Laura,Pugh,Female,74,laura.pugh@gmail.com,(917)226-2972x7009,Emilyborough,Illinois,Mozambique,2023-10-25,2024-07-16,44,1497.69
128,Jason,Morse,Male,65,jason.morse@hotmail.com,+1-274-775-5492x2544,Port Kelly,Tennessee,Mongolia,2023-05-24,2025-04-25,23,4145.79
129,Cassandra,Cohen,Other,75,cassandra.cohen@yahoo.com,(939)363-7123,Port Elizabeth,Tennessee,Guinea-Bissau,2020-09-17,2023-07-10,3,4146.62
130,Cynthia,Guzman,Female,65,cynthia.guzman@yahoo.com,482.581.3105,South Shannon,Kansas,Greece,2023-12-04,2024-08-23,3,828.52
131,Veronica,Morris,Other,60,veronica.morris@hotmail.com,(436)476-8338,Jonfurt,Nevada,Cocos (Keeling) Islands,2024-03-11,2024-03-29,20,4553.55
132,Joel,Simpson,Male,40,joel.simpson@gmail.com,4840829781,Julieport,North Carolina,Austria,2023-10-31,2025-02-13,49,658.68
133,Harold,White,Female,28,harold.white@gmail.com,329.015.3134x02043,Acostastad,Colorado,Yemen,2021-08-21,2023-02-27,28,4435.59
134,James,Oliver,Male,47,james.oliver@yahoo.com,+1-655-951-8017x4073,Michaelland,Arkansas,Ukraine,2022-10-05,2024-03-17,40,3349.81
135,Jared,Stewart,Female,62,jared.stewart@gmail.com,086-369-3118x57591,Lake Tricia,Indiana,Turks and Caicos Islands,2021-12-30,2025-05-04,10,3008.78
136,Angela,Meyer,Male,43,angela.meyer@gmail.com,258.374.6958,South Carla,Oklahoma,South Georgia and the South Sandwich Islands,2021-02-08,2022-12-03,7,4667.2
137,Mary,Wilson,Female,54,mary.wilson@yahoo.com,412.363.3590,Lake Mirandastad,Rhode Island,Guadeloupe,2021-03-30,2022-03-03,46,558.88
138,Katelyn,Yates,Other,70,katelyn.yates@yahoo.com,+1-030-239-0125x61567,West Andreachester,California,Western Sahara,2024-07-29,2025-07-20,2,1316.55
139,Shari,Dudley,Female,70,shari.dudley@gmail.com,001-249-556-1626,Lancebury,Delaware,Northern Mariana Islands,2021-10-15,2025-02-25,38,4055.55
140,Brian,Mendoza,Other,56,brian.mendoza@gmail.com,(879)523-5307x91942,North Darryl,North Dakota,Kiribati,2025-04-10,2025-08-11,4,3112.16
141,Hunter,Wright,Other,46,hunter.wright@yahoo.com,476.807.3183,North Daniel,Mississippi,United Kingdom,2022-11-17,2024-03-04,10,1406.72
142,Maria,Alvarez,Male,51,maria.alvarez@hotmail.com,493.946.6487x60200,West Jeremyside,New Hampshire,Canada,2022-09-21,2023-02-11,32,3848.02
143,Carrie,Gutierrez,Male,52,carrie.gutierrez@yahoo.com,142-584-2012x75792,Taylorfort,Oklahoma,Kyrgyz Republic,2022-06-14,2024-07-16,12,3044.44
144,Joseph,Hall,Other,71,joseph.hall@yahoo.com,001-789-439-2405,Lake Kyleshire,Ohio,Morocco,2025-08-05,2025-08-29,7,2401.81
145,Tiffany,Parsons,Female,41,tiffany.parsons@gmail.com,+1-942-717-4232x2142,Dawnville,North Dakota,Cook Islands,2022-01-07,2024-05-21,18,1970.67
146,Christine,Sullivan,Female,61,christine.sullivan@yahoo.com,(607)028-2273x1728,Foxfurt,Ohio,Central African Republic,2022-06-14,2024-11-09,4,3028.79
147,Alexander,Cohen,Female,26,alexander.cohen@hotmail.com,377-768-4197,Wongfurt,Texas,Dominican Republic,2024-09-25,2024-10-28,25,3824.46
148,Sarah,Waller,Other,37,sarah.waller@gmail.com,6467837686,Crawfordfort,Kentucky,Antigua and Barbuda,2022-11-24,2023-07-17,35,1884.43
149,Adrienne,Conner,Male,55,adrienne.conner@yahoo.com,7561602881,East Justinview,Delaware,Martinique,2021-03-20,2024-06-05,11,2688.44
150,Reginald,Collins,Other,64,reginald.collins@hotmail.com,456-966-8107x97278,Mitchellton,Washington,Lao People's Democratic Republic,2024-04-14,2024-05-12,8,4207.75
151,Tammy,Cohen,Female,71,tammy.cohen@gmail.com,167-711-4441x5784,Port Nicholasmouth,Kentucky,Ecuador,2021-10-18,2024-07-25,33,4474.67
152,Randy,Wilson,Other,65,randy.wilson@hotmail.com,+1-458-542-3540,Harrisborough,Iowa,Martinique,2021-09-04,2022-09-26,50,361.82
153,Wendy,Allen,Female,62,wendy.allen@hotmail.com,+1-248-614-6751x3532,East Jessicaberg,Utah,Nauru,2020-09-24,2024-03-15,36,137.02
154,Thomas,Luna,Male,54,thomas.luna@hotmail.com,378.703.8875x72091,Johnmouth,Nebraska,Cocos (Keeling) Islands,2020-10-23,2022-11-01,5,3123.11
155,Amanda,Wright,Other,53,amanda.wright@gmail.com,(750)076-2181x46482,Alvarezmouth,Idaho,Iran,2024-05-19,2025-05-13,16,3058.3
156,Tiffany,Hall,Male,34,tiffany.hall@yahoo.com,001-302-751-0307x8828,North Lauraport,North Carolina,Suriname,2025-07-27,2025-08-11,22,2241.88
157,Robert,Evans,Female,19,robert.evans@hotmail.com,001-563-575-9503x528,North Kevin,New Mexico,Slovakia (Slovak Republic),2025-04-26,2025-06-20,48,4122.21
158,Katrina,Rivas,Other,28,katrina.rivas@gmail.com,+1-969-094-4378x670,Tylerchester,Nevada,Brazil,2022-08-25,2024-05-23,37,4811.74
159,Julia,Friedman,Female,68,julia.friedman@gmail.com,(306)357-4402,Andreafort,Oklahoma,Ireland,2025-07-31,2025-08-21,34,3120.24
160,Brenda,Santos,Female,40,brenda.santos@gmail.com,080-759-7829,Emilyton,New Mexico,Aruba,2021-10-14,2024-06-26,28,1713.5
161,Selena,Hudson,Female,56,selena.hudson@hotmail.com,+1-785-643-1174x23592,Josemouth,Louisiana,Faroe Islands,2024-04-21,2025-04-15,9,3035.48
162,Brittany,Thomas,Other,63,brittany.thomas@yahoo.com,001-219-961-5658x647,Fisherhaven,Minnesota,Saint Barthelemy,2021-10-29,2022-11-23,25,742.4
163,Andrea,Koch,Female,58,andrea.koch@yahoo.com,890-167-3967x471,North Scott,Missouri,Guyana,2021-08-26,2025-04-13,17,2011.94
164,Adam,Perry,Other,46,adam.perry@gmail.com,+1-109-162-5222,West Dwayne,Alabama,New Zealand,2022-05-24,2024-03-18,35,3890.64
165,Jessica,Mitchell,Male,48,jessica.mitchell@hotmail.com,001-427-959-5198x927,East Mike,Kentucky,Serbia,2025-02-16,2025-03-07,33,758.39
166,Tina,Foley,Other,72,tina.foley@yahoo.com,(478)290-7338,Jenniferfort,North Dakota,Northern Mariana Islands,2025-02-09,2025-07-03,19,3831.5
167,Robert,Hays,Female,41,robert.hays@hotmail.com,001-341-127-6346x943,Williamsstad,North Carolina,Morocco,2023-10-14,2024-04-19,23,1666.34
168,Michelle,Savage,Male,49,michelle.savage@yahoo.com,(732)076-1163,Travisland,Georgia,Macedonia,2025-07-21,2025-09-04,27,3736.46
169,Tracy,Russell,Other,45,tracy.russell@yahoo.com,932.568.8453,Shawmouth,Illinois,Vietnam,2025-01-24,2025-05-15,3,4166.73
170,Carolyn,Warner,Other,64,carolyn.warner@hotmail.com,(639)173-9194x215,Port Ericside,Colorado,United Kingdom,2022-09-07,2022-10-12,37,4601.25
171,Ashley,Lane,Female,36,ashley.lane@gmail.com,416-314-2003x074,Avilastad,Washington,Somalia,2025-07-24,2025-09-04,25,1067.31
172,Patrick,Miller,Other,36,patrick.miller@hotmail.com,538-709-7361,South Danielview,Texas,Marshall Islands,2022-08-14,2024-11-22,17,4679.89
173,Christopher,Hebert,Female,39,christopher.hebert@gmail.com,(983)895-6092x324,South Dylan,Colorado,Norway,2023-04-17,2025-04-24,16,1379.44
